diff_mean,disp_mean,rel_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.4621878,1.6479177,1.1394635,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_99_linear
0.4621878,1.6479177,1.1394635,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_99_max
0.467661,1.566786,1.0961609,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_99_min
0.4313968,1.5815064,1.1216533,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_9_linear
0.43592375,1.5942664,1.1257697,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_9_max
0.42774855,1.58851995,1.12698425,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_9_min
0.4890155,1.7200919,1.16213675,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_99_linear
0.4890155,1.7200919,1.16213675,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_99_max
0.5073742,1.6156416,1.10073205,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_99_min
0.4626461,1.64136245,1.1359567,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_9_linear
0.46501925,1.64768715,1.1379324,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_9_max
0.575114,1.73367755,1.12588025,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_9_min
0.4684226,1.65028985,1.13753215,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_99_linear
0.4684226,1.65028985,1.13753215,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_99_max
