diff_mean,disp_mean,rel_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.5316908,0.28830290000000003,0.15597850000000002,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_99_linear
0.5316908,0.28830290000000003,0.15597850000000002,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_99_max
0.5113396499999998,0.2717924500000001,0.15789879999999998,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_99_min
0.47830505,0.22262865,0.14983420000000003,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_9_linear
0.48368705,0.22526979999999996,0.14846379999999998,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_9_max
0.4914388499999999,0.23068465000000002,0.14729525000000002,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_ind_9_min
0.5905886,0.3407469,0.15275155,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_99_linear
0.5905886,0.3407469,0.15275155,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_99_max
0.5941567999999998,0.36050255,0.1608453,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_99_min
0.5174817500000001,0.25477735,0.14632025,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_9_linear
0.5193969500000001,0.25618874999999997,0.14606835,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_9_max
0.6485947999999999,0.37575705,0.14125359999999998,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_none_9_min
0.5344787,0.28838755000000005,0.15462685,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_99_linear
0.5344787,0.28838755000000005,0.15462685,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_99_max
0.5137666999999999,0.27472415000000006,0.15815114999999996,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_99_min
0.47938895,0.22341099999999997,0.14968345000000005,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_9_linear
0.48609789999999997,0.22658074999999997,0.14791384999999999,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_9_max
0.49285429999999997,0.23212520000000003,0.14730789999999996,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_9_min
0.53278745,0.28591004999999997,0.15423380000000003,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_99_linear
0.53278745,0.28591004999999997,0.15423380000000003,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_99_max
0.51197405,0.26873085,0.1560509,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_99_min
0.47442065,0.21916985000000003,0.15004695000000004,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_9_linear
0.47911669999999995,0.22146475,0.14884635,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_9_max
0.48270145,0.22612755,0.14938539999999997,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_9_min
0.46988070000000004,0.27943070000000003,0.1824473,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_99_linear
