augmentation,feature_method,num_features,balancing_factor,val_metric,difference,disparity,relevance,difference_ind,disparity_ind,relevance_ind,util,qid,fm_yes_no
-,-,-,-,err,0.90113925,2.3131424,1.2526,1.4396391,1.2585522,0.187129,0.2655758879242598,39200.95,0.0
-,-,-,-,ndcg,0.7619148,2.1541799999999998,1.24273115,1.37777425,1.23914175,0.2083561,0.31703326304713386,39200.95,0.0
-,mpt,10,0.1,err,1.20365675,2.54961545,1.2195779,1.5405395499999999,1.2692217,0.14201355,0.24119797695651607,39200.95,1.0
-,mpt,10,0.1,ndcg,0.81862295,2.1780625000000002,1.2263184,1.4117926,1.2555383,0.1995454,0.28282776469563015,39200.95,1.0
-,mpt,10,0.5,err,1.16213995,2.33217505,1.13161595,1.4940858000000001,1.26712665,0.1641928,0.25927339084862283,39200.95,1.0
-,mpt,10,0.5,ndcg,0.6962576,1.9016755,1.1493073,1.28571435,1.2340612,0.2518458,0.34449701748413414,39200.95,1.0
-,mpt,10,0.9,err,0.643794,2.0095892500000003,1.2294961,1.4394686,1.24761115,0.18174375,0.2978413254153568,39200.95,1.0
-,mpt,10,0.9,ndcg,0.71233145,1.9535903000000001,1.1672278999999999,1.32683965,1.2251493500000001,0.2268273,0.3533181931193087,39200.95,1.0
-,mpt,15,0.1,err,0.7575374,2.26530335,1.30048155,1.48921615,1.2721007500000001,0.1691147,0.24265643549257393,39200.95,1.0
-,mpt,15,0.1,ndcg,0.74223365,2.25116045,1.30106185,1.4844067,1.2718215000000002,0.1713799,0.24462711746226976,39200.95,1.0
-,mpt,15,0.5,err,1.0966108,2.348334,1.1724601,1.46688245,1.27211665,0.18028955,0.2599660271883374,39200.95,1.0
-,mpt,15,0.5,ndcg,0.89039545,2.1710031,1.1869022,1.46693875,1.2559011500000001,0.1721536,0.29242407727816067,39200.95,1.0
-,mpt,15,0.9,err,1.04113725,2.18590455,1.11898205,1.2669133499999998,1.2009956499999999,0.2447136,0.3772683242012945,39200.95,1.0
-,mpt,15,0.9,ndcg,0.74569275,2.062416,1.2049601,1.22436055,1.2200236500000001,0.27550405,0.3755324664356714,39200.95,1.0
-,mpt,20,0.1,err,0.8295623000000001,2.21905585,1.2413453,1.3966885,1.26196235,0.2103095,0.2885853732239342,39200.95,1.0
-,mpt,20,0.1,ndcg,1.00074205,2.276804,1.1846294,1.5013188,1.2717391,0.16288260000000002,0.2550505354365965,39200.95,1.0
-,mpt,20,0.5,err,0.65903665,2.13215015,1.2831552499999999,1.4321015,1.2571530499999999,0.1901982,0.2816771273997745,39200.95,1.0
-,mpt,20,0.5,ndcg,0.74512145,2.1425678,1.2453215,1.3117919500000002,1.23418765,0.2388703,0.34616282303223644,39200.95,1.0
-,mpt,20,0.9,err,0.65903665,2.13215015,1.2831552499999999,1.4321015,1.2571530499999999,0.1901982,0.2816771273997745,39200.95,1.0
-,mpt,20,0.9,ndcg,0.74512145,2.1425678,1.2453215,1.3117919500000002,1.23418765,0.2388703,0.34616282303223644,39200.95,1.0
-,msd,10,0.1,err,0.9058564,2.2764396000000002,1.23189,1.4148053,1.2612603,0.20089990000000002,0.3063542400615312,39200.95,1.0
-,msd,10,0.1,ndcg,0.65901765,2.1543691,1.29427425,1.4089668,1.2452505999999999,0.1958143,0.2859085269489513,39200.95,1.0
