0 qid:10280 1:13.473315865677966 2:12.893099633651131 8:2006.0462482302974 9:1.6534839924670433 10:5.377354048964219 16:21.1371023412194 20:22.820294852754238 24:34.05026581273541 30:386.9041902071563 31:22.69256120527307 34:70.19091337099812 35:9.463276836158192 36:1134.6191148775895 37:165.93926553672316 40:21.58003766478343 41:2.912193973634652 42:62.5484934086629 43:9.881826741996234 46:12.4870527306968 47:1.4701035781544256 #docid = 003144973764dfce847ccaa197fa156a7fbebdd0
0 qid:10280 1:9.624328 2:12.139833 8:2003.0 9:1.0 10:2.0 16:21.423681 20:0.0 24:19.005363 30:1169.0 31:54.0 34:81.0 35:11.0 36:973.0 37:137.0 40:6.0 41:1.0 42:190.0 43:29.0 46:16.0 47:2.0 #docid = 5a51a085b848f0aaf6ca8bbd084c9a4185f34783
0 qid:10280 1:9.958489 2:8.456429 8:2005.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:342.0 31:1.0 34:86.0 35:11.0 36:1139.0 37:152.0 40:79.0 41:13.0 42:99.0 43:16.0 46:16.0 47:2.0 #docid = 7e3f4303517b9c4b96848eb3f1f3aff144481446
1 qid:10280 1:9.311863 2:13.468494 8:2003.0 9:1.0 10:2.0 16:21.423681 20:0.0 24:19.005363 30:328.0 31:4.0 34:100.0 35:12.0 36:657.0 37:90.0 40:24.0 41:3.0 42:96.0 43:15.0 46:8.0 47:1.0 #docid = 1e3a472b0d7b6ab43e6aa89fae227570288bd398
0 qid:10280 1:10.316691 2:14.072364000000002 8:2015.0 9:1.0 10:5.0 16:21.423681 20:0.0 24:47.51341 30:120.0 31:131.0 34:82.0 35:10.0 36:1793.0 37:250.0 40:14.0 41:2.0 42:31.0 43:6.0 46:16.0 47:2.0 #docid = 2f03862fdf55d43d4a2c868bcf9ac34b6519d2a0
0 qid:10280 1:10.358209 2:15.533969 8:2006.0 9:1.0 10:4.0 16:21.423681 20:0.0 24:37.734997 30:54.0 31:12.0 34:73.0 35:11.0 36:604.0 37:89.0 40:16.0 41:2.0 42:61.0 43:13.0 46:16.0 47:2.0 #docid = be57ba746b8fec268025df6afc68536fbd0188d8
1 qid:10280 1:9.311863 2:13.892895000000001 8:2013.0 9:1.0 10:4.0 16:21.423681 20:17.396885 24:38.010727 30:568.0 31:24.0 34:86.0 35:12.0 36:1392.0 37:189.0 40:6.0 41:1.0 42:271.0 43:49.0 46:16.0 47:2.0 #docid = 69fc2ba930fb7b1a0f39204b7192206d8b47e1ba
0 qid:10280 1:7.79368 2:10.260114999999999 8:2013.0 9:1.0 10:2.0 16:21.423681 20:17.396885 24:19.005363 30:146.0 31:62.0 34:135.0 35:17.0 36:1724.0 37:242.0 40:31.0 41:5.0 42:229.0 43:38.0 46:16.0 47:2.0 #docid = cec2e42c81d3d982599caf9799793ad03e3e1006
0 qid:10280 1:19.63496 2:22.089989000000003 8:2009.0 9:2.0 10:8.0 16:21.423681 20:0.0 24:75.538925 30:49.0 31:37.0 34:91.0 35:12.0 36:1601.0 37:240.0 40:37.0 41:4.0 42:91.0 43:15.0 46:16.0 47:2.0 #docid = f66b538d20ffc839937e5fd10fccf75ffb526c0a
0 qid:10280 1:10.316691 2:7.308489 8:2008.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:30.0 31:46.0 34:74.0 35:10.0 36:1739.0 37:236.0 40:37.0 41:4.0 42:30.0 43:6.0 46:16.0 47:2.0 #docid = 87a2832f778958fc1094ef7a7b0c243de55ed4db
1 qid:10280 1:11.360319 2:7.565229400000001 8:2014.0 9:2.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:120.0 31:40.0 34:121.0 35:17.0 36:1427.0 37:214.0 40:79.0 41:13.0 42:99.0 43:20.0 46:16.0 47:2.0 #docid = bc7126651b938de6acdfa6e86b4732669ce5759a
1 qid:10280 1:8.241576 2:6.8439627000000005 8:2003.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:957.0 31:15.0 34:121.0 35:16.0 36:2164.0 37:267.0 40:24.0 41:3.0 42:176.0 43:44.0 46:8.0 47:1.0 #docid = db9fde3c993ec10876dc731541470c433af0bdf2
0 qid:10280 1:8.241576 2:5.905572 8:2014.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:140.0 31:20.0 34:128.0 35:16.0 36:2626.0 37:333.0 40:31.0 41:4.0 42:169.0 43:27.0 46:8.0 47:1.0 #docid = 0317a207d80e11a8e520079f84d39fc04ffa4286
1 qid:10280 1:10.701622 2:14.513481 8:2006.0 9:1.0 10:6.0 16:21.423681 20:0.0 24:57.016090000000005 30:24.0 31:21.0 34:70.0 35:9.0 36:1825.0 37:251.0 40:17.0 41:2.0 42:183.0 43:24.0 46:16.0 47:2.0 #docid = 1929f3fdcc462a42ad85be9dd7c21cedf005104a
0 qid:10280 1:9.01905 2:7.565229400000001 8:2008.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:112.0 31:53.0 34:92.0 35:13.0 36:1539.0 37:215.0 40:79.0 41:13.0 42:177.0 43:31.0 46:16.0 47:2.0 #docid = 3d068033ba04731495ddb6b0ae13f8dd125c7f91
0 qid:10280 1:8.825991 2:14.726639000000002 8:2010.0 9:1.0 10:6.0 16:21.423681 20:0.0 24:56.602493 30:62.0 31:21.0 34:115.0 35:16.0 36:1611.0 37:223.0 40:27.0 41:4.0 42:74.0 43:11.0 46:16.0 47:2.0 #docid = 643cc46616580faba24162bfca4bba175fb70384
0 qid:10280 1:9.685627 2:14.858630999999999 8:2016.0 9:1.0 10:4.0 16:21.423681 20:0.0 24:37.734997 30:69.0 31:58.0 34:98.0 35:13.0 36:889.0 37:126.0 40:7.0 41:1.0 42:351.0 43:56.0 46:16.0 47:2.0 #docid = fc524fbd93be3db421c75c589e2299524a75fa26
1 qid:10280 1:18.40011 2:14.610130999999999 8:2020.0 9:2.0 10:9.0 16:21.423681 20:0.0 24:84.97267 30:370.0 31:0.0 34:106.0 35:13.0 36:5873.0 37:868.0 40:13.0 41:2.0 42:112.0 43:20.0 46:16.0 47:2.0 #docid = acb678bdd7634055de18d0b89bb6a4890e6a0306
0 qid:10280 1:20.316698000000002 2:21.085082999999997 8:2005.0 9:2.0 10:4.0 16:21.423681 20:0.0 24:37.80393 30:170.0 31:25.0 34:74.0 35:11.0 36:1310.0 37:180.0 40:16.0 41:2.0 42:133.0 43:21.0 46:16.0 47:2.0 #docid = 0c973f1c28a925bce86b2817ea83e665a4e5c95a
0 qid:10280 1:10.701622 2:15.069123999999999 8:2006.0 9:1.0 10:2.0 16:21.423681 20:0.0 24:18.936432 30:40.0 31:92.0 34:81.0 35:9.0 36:1479.0 37:206.0 40:39.0 41:5.0 42:14.0 43:3.0 46:8.0 47:1.0 #docid = 732e09726181b979fc5454eaaeb8cebb0e21464c
0 qid:10280 1:10.010633 2:14.730549 8:2003.0 9:1.0 10:4.0 16:21.423681 20:0.0 24:37.734997 30:219.0 31:55.0 34:80.0 35:12.0 36:1016.0 37:138.0 40:31.0 41:4.0 42:80.0 43:11.0 46:8.0 47:1.0 #docid = 9ddfc64b30a014f9debcfa0960ddd425c81bd16d
0 qid:10280 1:11.56461 2:13.373264 8:2015.0 9:1.0 10:5.0 16:21.423681 20:0.0 24:47.51341 30:79.0 31:43.0 34:61.0 35:7.0 36:2126.0 37:288.0 40:18.0 41:2.0 42:166.0 43:26.0 46:16.0 47:2.0 #docid = 0435b3211e5d120c43b485cd6999be0092ec45ba
1 qid:10280 1:13.684031 2:8.7307 8:2008.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.433749 30:51.0 31:135.0 34:41.0 35:5.0 36:1018.0 37:152.0 40:38.0 41:6.0 42:38.0 43:5.0 46:8.0 47:1.0 #docid = 63c68308a06888f25be743dd8d81c1644d9bf0d1
0 qid:10280 1:9.624328 2:0.0 8:2015.0 9:1.0 10:0.0 16:21.423681 20:0.0 24:0.0 30:206.0 31:315.0 34:105.0 35:11.0 36:1634.0 37:227.0 40:29.0 41:3.0 42:96.0 43:20.0 46:16.0 47:2.0 #docid = a43b46e0519671e5de823cf2a8a8ffafdf4f5aea
0 qid:10280 1:9.01905 2:10.773388 8:2014.0 9:1.0 10:2.0 16:21.423681 20:0.0 24:19.005363 30:126.0 31:45.0 34:114.0 35:14.0 36:1571.0 37:216.0 40:37.0 41:4.0 42:266.0 43:41.0 46:8.0 47:1.0 #docid = 746eb4349e92ef23d8fe3eab8f5dbb368afc80c5
1 qid:10280 1:10.701622 2:8.802062 8:2006.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:1.0 31:92.0 34:82.0 35:9.0 36:1023.0 37:145.0 40:39.0 41:5.0 42:14.0 43:3.0 46:7.0 47:1.0 #docid = c15933aa1651534e2bec2a2c37a63ae006558d76
0 qid:10280 1:9.958489 2:12.865051 8:2005.0 9:1.0 10:2.0 16:21.423681 20:0.0 24:19.005363 30:413.0 31:0.0 34:84.0 35:10.0 36:745.0 37:109.0 40:7.0 41:1.0 42:52.0 43:9.0 46:16.0 47:2.0 #docid = bbedaafec1ea70e9ae405d1f2ac4c143951630bc
0 qid:10280 1:10.316691 2:8.456429 8:1992.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:387.0 31:0.0 34:63.0 35:10.0 36:1086.0 37:154.0 40:6.0 41:1.0 42:129.0 43:21.0 46:16.0 47:2.0 #docid = 42b7f59d5affc9ba45526e0a7bc1e9390ed45cf2
0 qid:10280 1:15.479564000000002 2:20.959395999999998 8:2008.0 9:2.0 10:2.0 16:21.423681 20:0.0 24:18.936432 30:28.0 31:13.0 34:132.0 35:20.0 36:681.0 37:83.0 40:18.0 41:2.0 42:93.0 43:13.0 46:16.0 47:2.0 #docid = 1caf808ea8afd1b548bb3dfcbeae39a41fa5992e
