qid,title_bm25,abstract_bm25,venue_bm25,journal_bm25,authors_bm25,sources_bm25,fields_of_study_bm25,year,tsq_expr_title_tf,tsq_expr_abstract_tf,tsq_expr_venue_tf,tsq_expr_journal_tf,tsq_expr_authors_tf,tsq_expr_sources_tf,tsq_expr_fields_of_study_tf,tsq_expr_title_idf,tsq_expr_abstract_idf,tsq_expr_venue_idf,tsq_expr_journal_idf,tsq_expr_authors_idf,tsq_expr_sources_idf,tsq_expr_fields_of_study_idf,tsq_expr_title_tf_idf,tsq_expr_abstract_tf_idf,tsq_expr_venue_tf_idf,tsq_expr_journal_tf_idf,tsq_expr_authors_tf_idf,tsq_expr_sources_tf_idf,tsq_expr_fields_of_study_tf_idf,inCitations,outCitations,doc_id,qlength
10280,9.685627,14.858631,0.0,0.0,0.0,0.0,0.0,2016.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.902908,37.734997,0.0,0.0,0.0,0.0,0.0,69.0,58.0,fc524fbd93be3db421c75c589e2299524a75fa26,23
10280,8.825991,14.726639,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.902908,56.602493,0.0,0.0,0.0,0.0,0.0,62.0,21.0,643cc46616580faba24162bfca4bba175fb70384,23
10280,9.01905,7.5652294,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,112.0,53.0,3d068033ba04731495ddb6b0ae13f8dd125c7f91,23
10280,10.701622,14.513481,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,57.01609,0.0,0.0,0.0,0.0,0.0,24.0,21.0,1929f3fdcc462a42ad85be9dd7c21cedf005104a,23
10280,8.241576,5.905572,0.0,0.0,0.0,0.0,0.0,2014.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,140.0,20.0,0317a207d80e11a8e520079f84d39fc04ffa4286,23
10280,8.241576,6.8439627,0.0,0.0,0.0,0.0,0.0,2003.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,957.0,15.0,db9fde3c993ec10876dc731541470c433af0bdf2,23
10280,11.360319,7.5652294,0.0,0.0,0.0,0.0,0.0,2014.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,21.041546,9.502682,0.0,0.0,0.0,0.0,0.0,120.0,40.0,bc7126651b938de6acdfa6e86b4732669ce5759a,23
10280,18.40011,14.610131,0.0,0.0,0.0,0.0,0.0,2020.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,21.423681,84.97267,0.0,0.0,0.0,0.0,0.0,370.0,0.0,acb678bdd7634055de18d0b89bb6a4890e6a0306,23
10280,10.316691,7.308489,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,30.0,46.0,87a2832f778958fc1094ef7a7b0c243de55ed4db,23
10280,7.79368,10.260115,0.0,0.0,0.0,0.0,0.0,2013.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,17.396885,0.0,0.0,10.520773,19.005363,0.0,0.0,0.0,0.0,0.0,146.0,62.0,cec2e42c81d3d982599caf9799793ad03e3e1006,23
10280,10.701622,15.069124,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,18.936432,0.0,0.0,0.0,0.0,0.0,40.0,92.0,732e09726181b979fc5454eaaeb8cebb0e21464c,23
10280,9.311863,13.892895,0.0,0.0,0.0,0.0,0.0,2013.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,17.396885,0.0,0.0,10.520773,38.010727,0.0,0.0,0.0,0.0,0.0,568.0,24.0,69fc2ba930fb7b1a0f39204b7192206d8b47e1ba,23
10280,10.358209,15.533969,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.902908,37.734997,0.0,0.0,0.0,0.0,0.0,54.0,12.0,be57ba746b8fec268025df6afc68536fbd0188d8,23
10280,10.316691,14.072364,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,15.261694,0.0,0.0,0.0,10.520773,47.51341,0.0,0.0,0.0,0.0,0.0,120.0,131.0,2f03862fdf55d43d4a2c868bcf9ac34b6519d2a0,23
10280,9.311863,13.468494,0.0,0.0,0.0,0.0,0.0,2003.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,15.261694,0.0,0.0,0.0,10.520773,19.005363,0.0,0.0,0.0,0.0,0.0,328.0,4.0,1e3a472b0d7b6ab43e6aa89fae227570288bd398,23
10280,9.958489,8.456429,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,342.0,1.0,7e3f4303517b9c4b96848eb3f1f3aff144481446,23
10280,9.624328,12.139833,0.0,0.0,0.0,0.0,0.0,2003.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,19.005363,0.0,0.0,0.0,0.0,0.0,1169.0,54.0,5a51a085b848f0aaf6ca8bbd084c9a4185f34783,23
10280,19.63496,22.089989,0.0,0.0,0.0,0.0,0.0,2009.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,21.423681,75.538925,0.0,0.0,0.0,0.0,0.0,49.0,37.0,f66b538d20ffc839937e5fd10fccf75ffb526c0a,23
10280,20.316698,21.085083,0.0,0.0,0.0,0.0,0.0,2005.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,21.423681,37.80393,0.0,0.0,0.0,0.0,0.0,170.0,25.0,0c973f1c28a925bce86b2817ea83e665a4e5c95a,23
10280,11.56461,13.373264,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,47.51341,0.0,0.0,0.0,0.0,0.0,79.0,43.0,0435b3211e5d120c43b485cd6999be0092ec45ba,23
10280,10.010633,14.730549,0.0,0.0,0.0,0.0,0.0,2003.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,15.261694,0.0,0.0,0.0,10.902908,37.734997,0.0,0.0,0.0,0.0,0.0,219.0,55.0,9ddfc64b30a014f9debcfa0960ddd425c81bd16d,23
10280,20.316698,25.329947,0.0,0.0,0.0,0.0,0.0,2004.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,21.423681,84.97267,0.0,0.0,0.0,0.0,0.0,108.0,30.0,1854d80a095c32aaa524e50d07756a51493d5917,23
10280,11.562587,14.98896,0.0,0.0,0.0,0.0,0.0,1990.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.902908,37.734997,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0883900808aa6fccc06c11e27521ee43af376d7a,23
10280,12.028796,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.902908,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,964b454c92d1733c1d8265018e506bcdece934de,23
10280,8.825991,8.7307,0.0,0.0,0.0,0.0,0.0,2017.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.902908,9.433749,0.0,0.0,0.0,0.0,0.0,30.0,39.0,c7a3699cbb6e8ea60edabb60c0407883e6ed33f2,23
10280,8.74409,7.840665,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,395.0,28.0,1596ce185642a780f3bde1399ef49e70ea91da55,23
10280,8.74409,11.971127,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,15.261694,0.0,0.0,0.0,10.520773,19.005363,0.0,0.0,0.0,0.0,0.0,50.0,76.0,09e8d6985e74029c794e543bde68fba0d07133a4,23
10280,9.958489,10.773388,0.0,0.0,0.0,0.0,0.0,2013.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,19.005363,0.0,0.0,0.0,0.0,0.0,124.0,67.0,f7bd31dfda382aae11db6dfd2dd0557133101cff,23
10280,11.116391,6.6331615,0.0,0.0,0.0,0.0,0.0,2013.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,647.0,29.0,84dda3af6c990fb7344ce32af95dcc60b7346f19,23
10280,10.316691,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,5903db2cc164adea2e9c8e01ffc7354763e93356,23
10280,15.479564,20.959396,0.0,0.0,0.0,0.0,0.0,2008.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,28.0,13.0,1caf808ea8afd1b548bb3dfcbeae39a41fa5992e,23
10280,10.316691,8.456429,0.0,0.0,0.0,0.0,0.0,1992.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,387.0,0.0,42b7f59d5affc9ba45526e0a7bc1e9390ed45cf2,23
10280,9.958489,12.865051,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,19.005363,0.0,0.0,0.0,0.0,0.0,413.0,0.0,bbedaafec1ea70e9ae405d1f2ac4c143951630bc,23
10280,10.701622,8.802062,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,32.793907,33.941116,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,1.0,92.0,c15933aa1651534e2bec2a2c37a63ae006558d76,23
10280,9.01905,10.773388,0.0,0.0,0.0,0.0,0.0,2014.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,19.005363,0.0,0.0,0.0,0.0,0.0,126.0,45.0,746eb4349e92ef23d8fe3eab8f5dbb368afc80c5,23
10280,9.624328,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,0.0,0.0,0.0,0.0,0.0,0.0,206.0,315.0,a43b46e0519671e5de823cf2a8a8ffafdf4f5aea,23
10280,13.684031,8.7307,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.902908,9.433749,0.0,0.0,0.0,0.0,0.0,51.0,135.0,63c68308a06888f25be743dd8d81c1644d9bf0d1,23
10280,9.01905,6.6331615,0.0,0.0,0.0,0.0,0.0,2014.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,72.0,103.0,57b6dfe603cb6f1ec9f906b3a959b4809a56344c,23
10280_1,9.685627,14.858631,0.0,0.0,0.0,0.0,0.0,2016.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.902908,37.734997,0.0,0.0,0.0,0.0,0.0,69.0,58.0,fc524fbd93be3db421c75c589e2299524a75fa26,23
10280_1,8.825991,14.726639,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.902908,56.602493,0.0,0.0,0.0,0.0,0.0,62.0,21.0,643cc46616580faba24162bfca4bba175fb70384,23
10280_1,11.360319,7.5652294,0.0,0.0,0.0,0.0,0.0,2014.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,21.041546,9.502682,0.0,0.0,0.0,0.0,0.0,120.0,40.0,bc7126651b938de6acdfa6e86b4732669ce5759a,23
10280_1,18.40011,14.610131,0.0,0.0,0.0,0.0,0.0,2020.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,21.423681,84.97267,0.0,0.0,0.0,0.0,0.0,370.0,0.0,acb678bdd7634055de18d0b89bb6a4890e6a0306,23
10280_1,10.316691,7.308489,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,30.0,46.0,87a2832f778958fc1094ef7a7b0c243de55ed4db,23
10280_1,10.701622,15.069124,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,18.936432,0.0,0.0,0.0,0.0,0.0,40.0,92.0,732e09726181b979fc5454eaaeb8cebb0e21464c,23
10280_1,9.958489,8.456429,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,342.0,1.0,7e3f4303517b9c4b96848eb3f1f3aff144481446,23
10280_1,9.624328,12.139833,0.0,0.0,0.0,0.0,0.0,2003.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,10.520773,19.005363,0.0,0.0,0.0,0.0,0.0,1169.0,54.0,5a51a085b848f0aaf6ca8bbd084c9a4185f34783,23
10280_1,19.63496,22.089989,0.0,0.0,0.0,0.0,0.0,2009.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,21.423681,75.538925,0.0,0.0,0.0,0.0,0.0,49.0,37.0,f66b538d20ffc839937e5fd10fccf75ffb526c0a,23
10280_1,20.316698,21.085083,0.0,0.0,0.0,0.0,0.0,2005.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,21.423681,37.80393,0.0,0.0,0.0,0.0,0.0,170.0,25.0,0c973f1c28a925bce86b2817ea83e665a4e5c95a,23
10280_1,10.010633,14.730549,0.0,0.0,0.0,0.0,0.0,2003.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,15.261694,0.0,0.0,0.0,10.902908,37.734997,0.0,0.0,0.0,0.0,0.0,219.0,55.0,9ddfc64b30a014f9debcfa0960ddd425c81bd16d,23
10280_1,20.316698,25.329947,0.0,0.0,0.0,0.0,0.0,2004.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,21.423681,84.97267,0.0,0.0,0.0,0.0,0.0,108.0,30.0,1854d80a095c32aaa524e50d07756a51493d5917,23
10280_1,11.562587,14.98896,0.0,0.0,0.0,0.0,0.0,1990.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.902908,37.734997,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0883900808aa6fccc06c11e27521ee43af376d7a,23
10280_1,8.825991,8.7307,0.0,0.0,0.0,0.0,0.0,2017.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.902908,9.433749,0.0,0.0,0.0,0.0,0.0,30.0,39.0,c7a3699cbb6e8ea60edabb60c0407883e6ed33f2,23
10280_1,8.74409,7.840665,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,10.520773,9.502682,0.0,0.0,0.0,0.0,0.0,395.0,28.0,1596ce185642a780f3bde1399ef49e70ea91da55,23
10280_1,15.479564,20.959396,0.0,0.0,0.0,0.0,0.0,2008.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.423681,18.936432,14.951768,15.261694,0.0,0.0,0.0,21.423681,18.936432,0.0,0.0,0.0,0.0,0.0,28.0,13.0,1caf808ea8afd1b548bb3dfcbeae39a41fa5992e,23
