qid,title_bm25,abstract_bm25,venue_bm25,journal_bm25,authors_bm25,sources_bm25,fields_of_study_bm25,year,tsq_expr_title_tf,tsq_expr_abstract_tf,tsq_expr_venue_tf,tsq_expr_journal_tf,tsq_expr_authors_tf,tsq_expr_sources_tf,tsq_expr_fields_of_study_tf,tsq_expr_title_idf,tsq_expr_abstract_idf,tsq_expr_venue_idf,tsq_expr_journal_idf,tsq_expr_authors_idf,tsq_expr_sources_idf,tsq_expr_fields_of_study_idf,tsq_expr_title_tf_idf,tsq_expr_abstract_tf_idf,tsq_expr_venue_tf_idf,tsq_expr_journal_tf_idf,tsq_expr_authors_tf_idf,tsq_expr_sources_tf_idf,tsq_expr_fields_of_study_tf_idf,inCitations,outCitations,doc_id,qlength_char,qlength_token,titlelength_char,titlelength_token,paperAbstractlength_char,paperAbstractlength_token,venuelength_char,venuelength_token,journalNamelength_char,journalNamelength_token,author_nameslength_char,author_nameslength_token,sourceslength_char,sourceslength_token,fields_of_studylength_char,fields_of_studylength_token
69,12.035521,14.701091,0.0,0.0,0.0,0.0,0.0,1998.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,10.702684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66b1b3cd214a635e0b6e843480b54696414fb3d6,15,2,60,9,153,28,0,0,0,0,11,2,0,0,3,1
69,14.180475,31.76288,0.0,0.0,0.0,0.0,0.0,1999.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,23.414814,43.935036,0.0,0.0,0.0,0.0,0.0,9.0,0.0,e90e496bd64a70bdf4eeccb72e7238421036b302,15,2,88,14,416,56,0,0,0,0,14,3,0,0,3,1
69,23.888794,25.062744,0.0,0.0,0.0,0.0,0.0,2017.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,24.045551,43.56027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755d2fa5a2ca4ac196bd0b2d43400947c76fea36,15,2,56,10,1461,228,0,0,0,0,18,3,0,0,3,1
69,30.752544,21.814125,0.0,0.0,0.0,0.0,0.0,2010.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,36.383694,21.780134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a0b4090a765679566773df3fb265db2e10aa4d8b,15,2,41,7,819,133,0,0,0,0,16,3,0,0,3,1
69,13.006075,31.377857,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,21.780134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39efa374dae0e212dc87c0144cbb21e7280dca3c,15,2,40,7,93,16,0,0,0,0,14,2,0,0,3,1
69,13.006075,26.00671,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,64.590866,0.0,0.0,0.0,0.0,0.0,3.0,0.0,a877f723de0b8a7a65046048b2c20f486aa546a0,15,2,49,7,1408,204,0,0,0,0,8,2,0,0,3,1
69,11.60261,15.132811,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,21.405369,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42d0983857bcb63c2338f3d7c641943a5ea4daab,15,2,59,9,642,101,0,0,0,0,18,3,0,0,3,1
69,13.583336,18.542397,0.0,0.0,0.0,0.0,0.0,2004.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,23.414814,53.51342,0.0,0.0,0.0,0.0,0.0,5.0,1.0,be5d6dc9714fd0f22e006bff11d403bfc94ad140,15,2,97,16,594,85,0,0,24,5,17,2,0,0,9,1
69,9.833993,13.660711,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,21.405369,0.0,0.0,0.0,0.0,0.0,1.0,18.0,77818acf6f077881ce2a443eac6385108d3d609a,15,2,100,15,1002,151,0,0,23,3,15,3,0,0,9,1
69,0.0,15.851353,0.0,0.0,0.0,0.0,0.0,2001.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,0.0,53.51342,0.0,0.0,0.0,0.0,0.0,2.0,44.0,f58c658dcebb60f57466bd78c84ee9c21a66f3b7,15,2,103,14,1618,261,0,0,0,0,12,3,0,0,3,1
69,10.143225,7.130125,0.0,0.0,0.0,0.0,0.0,2010.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,10.702684,0.0,0.0,0.0,0.0,0.0,1.0,0.0,d8358ede931dc0a885585a4ea93b182c8afe4a4d,15,2,80,14,2001,324,0,0,0,0,24,4,0,0,3,1
69,15.507079,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5e2568221454181ce2f1bc59d448f6bad347ab55,15,2,16,3,459,74,0,0,0,0,15,2,0,0,3,1
69,13.552517,0.0,0.0,0.0,0.0,0.0,0.0,1981.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,0.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,38a0fa90a395661f51f749cf42ce5f5de2c41d98,15,2,39,7,527,82,0,0,0,0,27,4,0,0,3,1
69,13.772335,13.637358,0.0,0.0,0.0,0.0,0.0,1942.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,12.338143,11.07745,0.0,0.0,0.0,0.0,0.0,3.0,0.0,a521ec07268d8b0a414d862805277008419169d7,15,2,56,8,408,60,0,0,50,8,28,5,0,0,7,1
69,13.552517,12.609324,0.0,0.0,0.0,0.0,0.0,2004.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,21.405369,0.0,0.0,0.0,0.0,0.0,35.0,27.0,088f1f39e09476624088779808916769f0415522,15,2,39,6,1387,209,63,8,34,5,27,4,7,1,19,2
69,15.507079,26.6339,0.0,0.0,12.165776,0.0,0.0,2006.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,11.707407,75.293564,0.0,0.0,11.839506,0.0,0.0,1.0,0.0,aacba5b65b7e7854744101233ce01f6085b9d592,15,2,27,4,1371,204,0,0,0,0,33,5,0,0,3,1
69,16.420689,15.384004,0.0,0.0,0.0,0.0,0.0,1983.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,12.338143,11.07745,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6f11b11453ab3ec0b26f3bc760c84ff9eb484954,15,2,22,3,172,26,0,0,0,0,29,4,0,0,3,1
69,14.350971,25.888218,0.0,0.0,0.0,0.0,0.0,2012.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,12.338143,119.22859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e96b114e0dd2aaa5970b33ac2aff2abbd019a5ea,15,2,52,7,4007,604,0,0,34,6,15,2,0,0,3,1
69,11.08953,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,24.84106,0.0,0.0,12.338143,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,ad0d1b3ba06146606cba4784608575e76283f2d7,15,2,89,13,538,94,0,0,14,2,11,2,0,0,3,1
69,13.552517,20.476738,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,24.045551,21.780134,0.0,0.0,11.839506,0.0,0.0,11.707407,21.780134,0.0,0.0,0.0,0.0,0.0,14.0,0.0,b49c6b749a084fa284f2f354dfd51ed716c2123a,15,2,40,6,1170,160,0,0,0,0,14,3,0,0,11,1
