paper_sha,corpus_author_id,position
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,5453559,1
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,143661011,2
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,6842569,3
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,5108409,4
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,4850426,5
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,32234392,6
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,1399082370,7
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,4636440,8
770e91f0ea16d4318ed7f4fc77081a5b4a51696f,5150690,1
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,48161718,1
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,2868039,2
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,143969823,3
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,7137543,4
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,144924137,5
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,39983020,6
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,144239402,7
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,33876444,8
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,3353186,9
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,2018027,10
c21f829c68c506db704a483101361acd7a6fe68e,1393846726,1
b1bc74255ce7094509524dac7f62db4dd91130f4,3205302,1
7d405bb1e2879a69d0112411612ac84416e703e1,32480284,1
7d405bb1e2879a69d0112411612ac84416e703e1,48901459,2
7d405bb1e2879a69d0112411612ac84416e703e1,50266870,3
7d405bb1e2879a69d0112411612ac84416e703e1,6761001,4
84a83627f268f9d432a5c676532570f510ba121e,38851864,1
84a83627f268f9d432a5c676532570f510ba121e,91283705,2
84a83627f268f9d432a5c676532570f510ba121e,1987954,3
84a83627f268f9d432a5c676532570f510ba121e,6005014,4
84a83627f268f9d432a5c676532570f510ba121e,123395137,5
84a83627f268f9d432a5c676532570f510ba121e,46651911,6
84a83627f268f9d432a5c676532570f510ba121e,2356847,7
84a83627f268f9d432a5c676532570f510ba121e,40012816,8
84a83627f268f9d432a5c676532570f510ba121e,1491117165,9
84a83627f268f9d432a5c676532570f510ba121e,3121427,10
84a83627f268f9d432a5c676532570f510ba121e,29891490,11
84a83627f268f9d432a5c676532570f510ba121e,52448102,12
c3e9b11e12ede9923cff2a82b671d9c79eb372b8,12139996,1
c3e9b11e12ede9923cff2a82b671d9c79eb372b8,47542609,2
c3e9b11e12ede9923cff2a82b671d9c79eb372b8,144606777,3
c3e9b11e12ede9923cff2a82b671d9c79eb372b8,4254209,4
d59fd66c88a5a9bb56581bc1d84c87e38c609644,2550785,1
2ef97f9d6cafc8dd5ceebcc4cf2d48f550715ece,6865041,1
2ef97f9d6cafc8dd5ceebcc4cf2d48f550715ece,32331098,2
