qid,title_score,abstract_score,entities_score,venue_score,journal_score,authors_score,year,inCitations,outCitations,doc_id,qlength
15,4.621117,13.484798,5.156187,0.0,0.0,0.0,1999.0,222.0,1.0,35d0bcc87dc41a8c72333423935942cb66cffebf,18
15,13.855238,11.20138,17.349525,0.0,0.0,0.0,2007.0,117.0,22.0,0e7cf44e63829a80874d9cbaf652f0a6884528a8,18
15,15.231823,7.595418,0.0,0.0,0.0,0.0,2004.0,734.0,1.0,37171f18cd8ae596c69afbebb7a7966650ca2bbd,18
15,11.301733,10.025284,5.034931,6.7072163,6.705706,0.0,2007.0,140.0,86.0,40218590123f81a8f2ddce64d53cb16d5c31d1e7,18
15,10.525778,11.91748,0.0,0.0,0.0,0.0,2018.0,117.0,1.0,3ac1c70d1fc90c2ef00ad5b823179198f696aac8,18
15,11.734255,13.263109,15.449123,4.968288,5.0144777,0.0,2001.0,158.0,6.0,7f676b01f78a24aad7ace39f85041b7c34de1ae6,18
15,5.6652083,4.7237787,6.5641675,0.0,0.0,0.0,1997.0,489.0,0.0,0d768994d39d1aa5f3313ba689c0fc9520e96b16,18
15,5.195648,0.0,0.0,0.0,0.0,0.0,2005.0,593.0,3.0,cd74cd5af7c453a54537fee601dd1d1a0c557677,18
15,16.008408,13.542217,5.473405,0.0,0.0,0.0,2002.0,121.0,0.0,3ca0dcb69eb5b552ed451a9df5e245d01bba5320,18
15,11.734255,9.574882,0.0,0.0,0.0,0.0,2007.0,135.0,9.0,3e51cf1afe1656e6acf798768503466e32e25970,18
45,0.0,0.0,0.0,0.0,0.0,13.347173,1999.0,1111.0,26.0,3374fde0f00aa20810beaba27f1fe4bd54529dae,4
45,0.0,0.0,0.0,0.0,0.0,14.736723,1987.0,513.0,15.0,e2be748cfba7a3500283a8d92e86c15121970172,4
45,0.0,0.0,0.0,0.0,0.0,14.736723,2001.0,1195.0,15.0,16edc3faf625fd437aaca1527e8821d979354fba,4
45,0.0,0.0,0.0,0.0,0.0,14.736723,2000.0,3401.0,58.0,229ba907929a5352752ca45b2bffeb4565a28896,4
45,0.0,0.0,0.0,0.0,0.0,18.612066,2000.0,1905.0,8.0,9c21f24fcc082e08036fa18aa848948039753fce,4
45,0.0,0.0,0.0,0.0,0.0,14.736723,2000.0,5071.0,61.0,200c10cbb2eaf70727af4751f0d8e0a5a6661e07,4
70,11.795147,17.357698,11.808237,0.0,0.0,0.0,2007.0,143.0,5.0,3848d8181efd4a504dfa02b531b7713ab4a2573a,8
70,11.306327,15.434075,0.0,0.0,0.0,0.0,2001.0,120.0,2.0,52561f5f5c26e646f3968e2b65000373fd2f2921,8
70,12.911592,16.628351,10.911938,0.0,0.0,0.0,2001.0,99.0,12.0,2a08c0b103491bc4c0d3d2a20b6409a4ae34519d,8
70,9.698594,7.603716,9.686519,0.0,0.0,0.0,2003.0,288.0,17.0,c54d89eb904f9c578fc3ef49bcd55323decf35c5,8
70,8.23487,14.429217,9.686519,0.0,0.0,0.0,2005.0,149.0,34.0,c2c2a94455a0f1560775b62aae3046795e61fd93,8
70,9.36565,13.864203,0.0,0.0,0.0,0.0,2004.0,270.0,31.0,7eb71c693e391c263ce8521590a9fb0d2c5b829e,8
70,9.698594,16.726618,10.142104,0.0,0.0,0.0,2001.0,755.0,14.0,2e9ce59aa182e40164729861a19dac9c229250ec,8
75,7.1494417,6.9931617,6.398918,0.0,0.0,0.0,2002.0,569.0,25.0,390ba243bb7648369ba6e8fed313e9d6f53846bd,21
75,8.575474,9.611598,7.4629827,0.0,0.0,0.0,2007.0,1965.0,56.0,d22fc46a607dbc16dfc9a32084fdd8b2558da17c,21
75,12.464415,16.003935,7.3617144,0.0,0.0,0.0,2006.0,137.0,21.0,1f4789a2effea966c8fd10491fe859cfc7607137,21
75,6.7071705,9.485107,0.0,0.0,0.0,0.0,2012.0,533.0,47.0,158435baa65e5392553c25939b852dd32ab2e010,21
75,8.247287,19.46281,0.0,0.0,0.0,0.0,2012.0,105.0,45.0,5274ac52b608fb2abd3cdb0ac0178e98ec99049b,21
75,17.533573,14.232607,0.0,0.0,0.0,0.0,2015.0,113.0,72.0,3326599f8077971c689a46bddc60bba92a1a6b3d,21
