paper_sha,min_hindex,avg_hindex,max_hindex,min_authorpapers,avg_authorpapers,max_authorpapers,min_i10index,avg_i10index,max_i10index,min_numcitations,avg_numcitations,max_numcitations,num_hclass_L,num_hclass_H
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,5.0,12.75,26.0,16.0,78.75,188.0,2.0,19.5,65.0,53.0,572.625,2166.0,2,6
770e91f0ea16d4318ed7f4fc77081a5b4a51696f,23.0,23.0,23.0,104.0,104.0,104.0,44.0,44.0,44.0,1598.0,1598.0,1598.0,0,1
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,3.0,9.5,17.0,11.0,48.5,118.0,1.0,9.9,25.0,41.0,759.6,2438.0,5,5
c21f829c68c506db704a483101361acd7a6fe68e,8.0,8.0,8.0,10011.0,10011.0,10011.0,6.0,6.0,6.0,2052.0,2052.0,2052.0,1,0
b1bc74255ce7094509524dac7f62db4dd91130f4,5.0,5.0,5.0,9.0,9.0,9.0,4.0,4.0,4.0,450.0,450.0,450.0,1,0
7d405bb1e2879a69d0112411612ac84416e703e1,2.0,17.25,32.0,2.0,75.0,172.0,2.0,39.0,91.0,142.0,1564.0,3156.0,2,2
84a83627f268f9d432a5c676532570f510ba121e,1.0,6.583333333333333,11.0,1.0,24.583333333333332,55.0,0.0,5.416666666666667,12.0,3.0,222.0,533.0,9,3
c3e9b11e12ede9923cff2a82b671d9c79eb372b8,2.0,5.5,11.0,5.0,34.25,61.0,0.0,4.25,13.0,5.0,119.0,344.0,3,1
d59fd66c88a5a9bb56581bc1d84c87e38c609644,29.0,29.0,29.0,111.0,111.0,111.0,41.0,41.0,41.0,13682.0,13682.0,13682.0,0,1
2ef97f9d6cafc8dd5ceebcc4cf2d48f550715ece,1.0,13.75,33.0,2.0,88.5,259.0,1.0,33.0,111.0,26.0,1036.75,3538.0,2,2
1ce0fb50054045006eb1076e75954b9a2dc1a7ef,3.0,3.8,5.0,5.0,46.2,70.0,1.0,1.2,2.0,21.0,45.0,74.0,5,0
fc524fbd93be3db421c75c589e2299524a75fa26,1.0,10.473684210526315,44.0,1.0,51.05263157894737,366.0,1.0,19.0,142.0,69.0,965.7894736842105,7646.0,13,6
fc8f33fc7943bcda37e8b072a768781a259e951c,1.0,7.2,22.0,2.0,17.0,44.0,1.0,7.6,28.0,12.0,1790.4,8735.0,4,1
e9326a6cf498adee70a81c2376868e70e4ae0ae6,6.0,17.0,43.0,26.0,221.0,1027.0,6.0,49.857142857142854,241.0,177.0,1880.7142857142858,8684.0,3,4
3ec606701ef65fa976cba34d73e75dd2170220cd,1.0,4.333333333333333,8.0,1.0,12.666666666666666,24.0,1.0,3.0,6.0,45.0,116.66666666666667,212.0,3,0
97dbc321bc5c2e7ffab651b96df14f357f79b6f8,42.0,62.0,82.0,119.0,239.0,359.0,62.0,125.5,189.0,10169.0,23910.0,37651.0,0,2
2d850bd85c6ded0e03b185335c03f964f3663f96,24.0,26.0,28.0,114.0,168.0,222.0,38.0,53.0,68.0,2125.0,2545.0,2965.0,0,2
d1eedd66f5d06c3a545dcc72832ce5319924bc71,1.0,11.5,22.0,4.0,36.75,86.0,1.0,16.5,37.0,16.0,1459.5,3425.0,2,2
9a07d668695358fff63f65411085f4329a7563aa,21.0,21.0,21.0,207.0,207.0,207.0,39.0,39.0,39.0,1537.0,1537.0,1537.0,0,1
d6a49dc25964119e59f2fd153b3deed038e0f4fa,20.0,26.25,39.0,61.0,119.75,204.0,29.0,49.0,88.0,1313.0,2568.25,5279.0,0,4
27e0dcd372c11ba9a67c210e85125ce8e7cb7663,2.0,5.333333333333333,7.0,4.0,39.666666666666664,83.0,0.0,3.0,5.0,3.0,100.33333333333333,178.0,3,0
7b87c7ae718541b0f780f515699909b3cda03c8d,49.0,65.5,82.0,275.0,431.5,588.0,126.0,216.0,306.0,11122.0,20083.5,29045.0,0,2
c19619e636712243bfc9f8a4489edaf9d605d5eb,5.0,27.666666666666668,61.0,36.0,601.0,1666.0,3.0,174.33333333333334,496.0,77.0,7356.0,21107.0,1,2
e3422bd2f4fdf23e1c9e209b80fb9f64a14d1774,2.0,5.333333333333333,7.0,3.0,18.333333333333332,27.0,0.0,1.3333333333333333,3.0,6.0,74.0,122.0,3,0
fde6e6071cb430db1975bfa112f7beee8c64aed5,2.0,20.09090909090909,64.0,2.0,71.54545454545455,314.0,2.0,37.09090909090909,162.0,332.0,3570.818181818182,17984.0,5,6
bec8281e0d3515156e77142351bc659388ec6657,8.0,19.25,28.0,27.0,121.25,261.0,7.0,34.0,67.0,302.0,1333.0,2154.0,1,3
d8a90a767f1848b84423f5565ef2479795425a84,2.0,2.0,2.0,2.0,3.5,4.0,0.0,0.25,1.0,3.0,7.75,16.0,4,0
b8e5d75d67eb8403abfc4f05e220851f45ea83fe,3.0,6.25,9.0,10.0,54.0,97.0,1.0,3.0,6.0,21.0,128.5,248.0,4,0
ba1e1af274581801a11921377decc39490a8ea07,2.0,18.4,54.0,5.0,90.2,307.0,0.0,37.6,137.0,14.0,2678.6,11542.0,3,2
28814444fe96b601e12f041128a6fa823e50f1fa,9.0,26.0,43.0,34.0,115.0,196.0,9.0,47.5,86.0,1260.0,6628.5,11997.0,1,1
e6af4087182c50df08bb574917bc4c8fc5a9b874,14.0,25.0,36.0,44.0,603.5,1163.0,19.0,88.5,158.0,2216.0,5895.5,9575.0,0,2
40df12d22be8cb8f21a55cc5684a4bfb83654ffb,5.0,10.0,17.0,12.0,73.0,171.0,5.0,14.333333333333334,30.0,153.0,576.3333333333334,1143.0,2,1
88cff2ae5133739743eb497b0b7031f027eb1ff7,3.0,39.5,70.0,6.0,187.375,366.0,1.0,105.75,212.0,31.0,7971.0,18849.0,2,6
8174681ca84e548c384850a8e50245b85ea7fa82,5.0,5.0,5.0,7.0,7.0,7.0,3.0,3.0,3.0,46.0,46.0,46.0,1,0
83cd28183a7c9339a0d7b3c6f7c35ad49cd4b860,10.0,22.4,55.0,17.0,156.6,635.0,10.0,57.4,222.0,546.0,2763.8,11280.0,0,5
7455f65a1a23cbcb83a527c41dfc030ddaf79e5c,22.0,23.5,25.0,63.0,64.5,66.0,28.0,30.0,32.0,15149.0,17073.5,18998.0,0,2
44c01e3e0ae9ca997cfcd10ea73d3c7812424f2a,11.0,18.0,25.0,139.0,165.0,191.0,12.0,27.0,42.0,581.0,5668.0,10755.0,0,2
