author_id,gid
5113556,2
1936676,4
4336556,3
48987625,4
46409274,1
2027716,5
3948187,3
2367687,3
9582983,2
1722627,5
2280531,3
50580346,1
50244607,3
1753062,3
10338546,3
34839105,4
1798504,5
2059422,6
32355873,1
1786165,5
26385257,1
6607774,2
29264783,1
2475272,5
12004986,1
1734409,5
4123347,6
1975540,4
5304677,4
6434052,3
2951714,4
7881191,1
5661176,1
16638853,3
6136766,5
3836169,4
2920976,5
38626621,1
1896276,4
40422740,5
2911562,2
12492622,3
2900644,2
2099341,1
1791984,4
15955435,1
2087639,2
3119801,3
3250138,5
5905924,4
5371844,3
49890620,5
33679839,1
10793260,1
6072884,3
1966302,1
2054776,3
2711409,2
6327521,4
1708988,5
2813811,5
1719800,4
51406504,1
6986562,3
2141758,1
48096354,5
3640448,5
1716440,6
9362053,1
1723644,5
5257873,4
47669130,1
7162506,2
35137697,3
1717349,5
50270162,4
49192698,5
40400223,3
1772288,3
1690163,4
1725873,5
2190183,4
48255415,3
6564685,4
50433697,5
2632177,3
46400977,1
37006989,3
35801743,1
1700752,5
2347956,2
32813672,4
2683335,3
2426718,4
4871209,3
8075165,5
37028297,2
50823818,4
49091320,3
2462253,6
1706259,5
20997191,3
2856259,3
46815861,2
40172061,1
49233337,2
6865799,6
1709824,5
6752819,2
50583536,4
1711151,5
2402935,5
3470080,1
46395123,2
1796565,5
34840341,4
2936436,1
47548339,2
31486916,2
4414331,1
51364170,1
4708816,2
50665235,3
4426705,6
40148059,3
3555807,2
37410440,1
48814793,1
3259499,4
7137077,5
49092232,1
2704353,4
1893888,3
34930548,4
4150260,4
49248216,1
49911463,2
48388065,3
1684745,6
1722368,3
37186475,1
2276366,4
2265314,3
2529128,4
14515318,1
16059408,1
5902500,2
2908470,1
39192945,3
3035617,3
36413662,5
33274144,3
1784851,5
1814022,4
1699314,4
35217983,4
35219534,5
8021077,3
3171151,2
4563860,4
1828723,1
24982365,4
2601522,2
36289016,3
2063206,2
3396339,1
50098616,3
51177501,1
13101890,1
6468296,6
1759819,3
2151633,3
48407737,4
35107086,3
29820192,4
2742040,1
1742807,6
14744383,1
2747312,2
50516213,2
35071937,3
49260258,3
33723860,2
5781900,2
1713054,4
2889671,4
1743149,3
34336473,4
2005547,4
13193964,1
14201754,2
3712928,4
3721240,5
39820543,1
2316996,1
2364490,2
27152539,2
48437441,4
1766594,4
3713256,4
1684511,5
6134632,4
40178590,1
2131832,4
3097044,2
48595489,3
1716204,4
9431044,4
3224559,4
50851712,4
6008111,3
48848703,2
16876444,2
8493461,5
2840539,5
1697141,5
48431485,3
34777244,4
34708040,4
29279866,4
2846101,3
47383970,1
2203072,5
2319955,3
47424109,2
1830653,4
50619372,3
7297702,4
48021416,3
1702112,7
1767771,4
2540461,3
5378372,6
2467559,3
9888665,2
2750336,1
2768126,2
6528505,6
1830517,5
3657542,4
1679877,2
48063717,1
1801607,2
2425791,3
39546838,3
8462020,3
39944066,3
46659591,2
51030798,2
2544751,4
2178590,3
2558483,2
4085021,5
40410936,3
1883259,1
5091325,4
35099444,3
32917205,1
34673652,5
2310575,2
4934325,4
3256821,2
12976646,1
4917024,4
1757347,3
5628684,4
48783779,2
2879089,3
5024956,5
1872254,1
4932760,6
32710849,2
2914632,6
1837308,5
2648624,4
5085230,6
40371635,1
39576769,2
1945845,3
1764429,5
6509014,4
47096243,3
1940399,6
31872193,2
49591244,2
2577008,5
1960132,1
4283294,6
1766621,2
1825473,6
10803508,1
12308971,1
46887195,1
6818051,4
15690026,2
2792323,3
2194586,4
3651224,3
31841558,2
2725488,5
13560812,1
4253793,3
4139859,4
5338272,2
4679762,5
39887217,4
4232463,6
49574435,3
1908106,3
17153293,2
9391997,3
30550992,3
37037209,2
1720093,5
46727262,1
2895634,6
1738614,5
1861724,6
47084873,3
1759942,4
49225401,1
8420016,1
37069840,1
2609750,3
2070164,5
49936491,2
47393763,4
2527398,3
2988701,4
38913964,3
15475165,4
1747186,4
5506025,5
5185448,5
1696238,3
6680444,7
49093547,4
3060797,4
1706968,1
39184720,4
9166167,1
1758494,3
34756060,5
4505325,5
5988759,2
2367938,2
1713934,4
1774200,4
1686891,4
46675227,3
7744741,2
49898655,3
30342264,5
5239051,3
21859996,2
3137828,4
47778994,1
3313033,2
2288539,5
30020562,3
2010448,5
2549106,6
49656819,1
46478053,3
1736987,5
4427551,2
36093977,3
2662998,3
1810680,2
1779416,5
1690893,7
5003077,3
4637621,3
2740167,3
32377259,3
1790184,5
2559152,2
2040956,2
2705801,4
2505935,1
1979568,4
4825116,4
1707325,4
11330341,1
1701355,5
6693974,3
3009653,7
1728285,5
49550976,1
2441750,6
2861620,3
1973726,3
2427813,4
2960225,3
3639679,4
32115309,6
5762447,5
3887127,5
30045630,2
50643651,2
50443476,4
51449676,1
2795724,6
2371932,2
1684246,5
38793818,2
47367843,3
13704083,2
2325587,5
2899551,3
8380878,4
13698497,1
2110062,2
47120549,3
48798772,2
1967156,4
2865029,3
38841736,2
31528005,2
47499117,4
21843876,1
9370204,1
3051596,5
1751420,4
3675762,6
4704151,5
9441079,1
1690704,6
6227355,2
1714296,5
1928061,3
6436475,4
2306709,5
31483135,3
2492306,2
39140195,3
40391706,3
38445714,1
3625640,4
40380697,2
48667554,3
32072983,3
1787013,3
11541608,1
48250723,1
50047489,3
2180068,3
46523873,6
3946975,4
1765625,3
3813422,4
1715356,3
30817385,2
2337659,3
5000257,4
1742526,5
2485206,4
3572535,5
1866586,3
4134590,2
2121654,2
1752995,5
7439235,3
2862032,5
34415167,2
1773699,2
13729141,2
50304188,2
3777741,2
1737420,5
5887314,4
1719255,3
2240116,4
30132590,1
1694689,3
40197421,1
3369966,4
1792164,4
1910897,1
46316091,2
52226397,1
38070012,2
11324707,3
38031093,1
47149898,2
1805878,2
29951847,2
1751372,5
1796130,4
1800067,3
1745732,5
11980759,2
4434593,5
4455946,5
3901817,2
7249325,4
35198410,4
5795965,4
26238894,2
8993987,4
35185772,3
35605012,2
2580777,3
48822126,1
1883849,6
3945608,5
40829312,3
3324354,4
49683681,3
46951709,2
31823347,1
2538899,4
1779306,2
6893843,2
1685185,5
34917892,3
3311143,5
1682816,5
2466771,2
31013690,2
3025780,4
2736192,5
4049477,2
48358890,2
5333485,2
1836652,3
4185947,2
8153064,2
6044433,5
35587772,3
1730590,5
31621956,2
2723840,3
2864573,2
4719285,1
30393047,1
47624724,1
1770076,5
