paper_sha,paper_title,paper_year,paper_venue,n_citations,n_key_citations
ff8df0745136fb183ea72b783ff38f8a7ad5ceec,Hepatoprotective activity of Lepidium sativum seeds against D-galactosamine/lipopolysaccharide induced hepatotoxicity in animal model,2016.0,BMC Complementary and Alternative Medicine,16.0,
770e91f0ea16d4318ed7f4fc77081a5b4a51696f,The Flynn effect and memory function,2010.0,Journal of clinical and experimental neuropsychology,23.0,
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,5G-Based Systems Design for Tactile Internet,2019.0,Proceedings of the IEEE,18.0,
c21f829c68c506db704a483101361acd7a6fe68e,Global prevalence of dementia: a Delphi consensus study,2006.0,,1769.0,
b1bc74255ce7094509524dac7f62db4dd91130f4,Feature Detection,2009.0,Encyclopedia of Biometrics,0.0,
7d405bb1e2879a69d0112411612ac84416e703e1,Barbering (fur and whisker trimming) by laboratory mice as a model of human trichotillomania and obsessive-compulsive spectrum disorders.,2004.0,Comparative medicine,86.0,
84a83627f268f9d432a5c676532570f510ba121e,Characterization of Ubrogepant: A Potent and Selective Antagonist of the Human Calcitonin Gene‒Related Peptide Receptor.,2020.0,The Journal of pharmacology and experimental therapeutics,3.0,
c3e9b11e12ede9923cff2a82b671d9c79eb372b8,Concepts and Core Principles of Fragment-Based Drug Design,2019.0,Molecules,1.0,
d59fd66c88a5a9bb56581bc1d84c87e38c609644,Fractional-order systems and PI/sup /spl lambda//D/sup /spl mu//-controllers,1999.0,IEEE Trans. Automat. Contr.,274.0,
2ef97f9d6cafc8dd5ceebcc4cf2d48f550715ece,Complications related to pubic hair removal.,2014.0,American journal of obstetrics and gynecology,26.0,
1ce0fb50054045006eb1076e75954b9a2dc1a7ef,Atomic Layer Deposition of Tin Dioxide Nanofilms: a Review,2015.0,,11.0,
fc524fbd93be3db421c75c589e2299524a75fa26,"Chloroquine, an Endocytosis Blocking Agent, Inhibits Zika Virus Infection in Different Cell Models",2016.0,Viruses,69.0,
fc8f33fc7943bcda37e8b072a768781a259e951c,An exploration of compassion focused therapy following acquired brain injury.,2015.0,Psychology and psychotherapy,12.0,
e9326a6cf498adee70a81c2376868e70e4ae0ae6,Multi-center randomized control trial of etizolam plus NSAID combination for tension-type headache.,2007.0,Internal medicine,2.0,
3ec606701ef65fa976cba34d73e75dd2170220cd,Homework and Student Math Achievement in Junior High Schools,2000.0,,45.0,
97dbc321bc5c2e7ffab651b96df14f357f79b6f8,Self-discipline outdoes IQ in predicting academic performance of adolescents.,2005.0,Psychological science,986.0,
2d850bd85c6ded0e03b185335c03f964f3663f96,"Racing to the Bottom? Trade, Environmental Governance, and ISO 14001",2006.0,,129.0,
d1eedd66f5d06c3a545dcc72832ce5319924bc71,Tight Analyses for Non-Smooth Stochastic Gradient Descent,2019.0,COLT,16.0,
9a07d668695358fff63f65411085f4329a7563aa,Lost in Translation: The Social Investment Perspective and Gender Equality,2009.0,,77.0,
d6a49dc25964119e59f2fd153b3deed038e0f4fa,Intrusive thoughts: linking spontaneous mind wandering and OCD symptomatology,2017.0,Psychological research,27.0,
27e0dcd372c11ba9a67c210e85125ce8e7cb7663,Stock market random forest-text mining system mining critical indicators of stock market movements,2018.0,2018 2nd International Conference on Natural Language and Speech Processing (ICNLSP),1.0,
7b87c7ae718541b0f780f515699909b3cda03c8d,The Embedded Systems Design Challenge,2006.0,FM,283.0,
c19619e636712243bfc9f8a4489edaf9d605d5eb,Potential preanalytical and analytical vulnerabilities in the laboratory diagnosis of coronavirus disease 2019 (COVID-19).,2020.0,Clinical chemistry and laboratory medicine,13.0,
e3422bd2f4fdf23e1c9e209b80fb9f64a14d1774,Perceptions of branding in the clothing industry : a survey among black adolescents,2004.0,,5.0,
fde6e6071cb430db1975bfa112f7beee8c64aed5,Randomized clinical trial of therapeutic exercise in subacute stroke.,2003.0,Stroke,321.0,
