id,Advanced,Developing,DocLevel,H,L,DocHLevel
00170fb680b0e106582b45cd5fe8e32dccfd608d,2.0,0.0,Advanced,0.0,2.0,L
001d90376ea9a5672e6a2b37ff468d6f3ee0a3e5,2.0,0.0,Advanced,1.0,3.0,Mixed
002bdd16157fb15c3005429a88f22673ee6fe76d,3.0,0.0,Advanced,3.0,0.0,H
0033346700dc450ac22c9b704eab0e906d868662,6.0,2.0,Mixed,4.0,4.0,Mixed
0043a278c69bcdd35602c0e5c9e27d50a334cdb1,2.0,0.0,Advanced,2.0,0.0,H
0045a40a1da3024aea2fa080d69ea721e446f215,4.0,0.0,Advanced,3.0,1.0,Mixed
00536f91152d520fc3df5c34a983035cc58f3e60,5.0,0.0,Advanced,3.0,2.0,Mixed
0060e03321a39e477a567200affebc2e07da3c28,1.0,0.0,Advanced,1.0,0.0,H
00753625921cb53a3ebe020d52d7ff1dbd3c1559,0.0,5.0,Developing,0.0,5.0,L
0089d5b7e386ae6fccef17fb3b7df5c33b9588a4,0.0,4.0,Developing,,,
009af3a1fa932ea1a9efa8d34cb0b6e32feae15e,2.0,0.0,Advanced,2.0,0.0,H
00a475c2feb00cf03e72f8c3591fbeaadf326ff7,,,,1.0,0.0,H
00a4fd7a2f0eb46751d1238cd5ce27c3b40d37d6,3.0,0.0,Advanced,2.0,1.0,Mixed
00b213795dd4c926f3a4b4a2979a845f0ca6b7f5,4.0,0.0,Advanced,4.0,0.0,H
00d4f4b2e38a2fbe15c672c21c522e2f95264cb0,9.0,0.0,Advanced,3.0,6.0,Mixed
00ec1445007d7e97344460fc4aada1da2131c72f,3.0,0.0,Advanced,,,
00f1fe233881777c97ead8528324e7c807ef9dfc,1.0,0.0,Advanced,1.0,0.0,H
00f29bda9f82dbb0d563f4cea16e2ea2666c2cf2,5.0,0.0,Advanced,5.0,0.0,H
01016796cad8124f435f236cdc5e6c4e6a92600c,4.0,0.0,Advanced,1.0,4.0,Mixed
01079c7c7f1a3912145ad924adb4472616c22433,1.0,0.0,Advanced,0.0,1.0,L
011da31e2c0d8d111c59aef3bc6c3fc03b5a24b2,1.0,4.0,Mixed,,,
012c336ff0a7229cd2c4809f26d9a85e15882bbc,1.0,0.0,Advanced,0.0,1.0,L
